occupation_code_1970,occupation_label,major_group,subgroup
132,Law teachers,"Professional, Technical, and Kindred Workers","Teachers, college and university"
133,Theology teachers,"Professional, Technical, and Kindred Workers","Teachers, college and university"
134,"Trade, industrial, and technical teachers","Professional, Technical, and Kindred Workers","Teachers, college and university"
135,"Miscellaneous teachers, college and university","Professional, Technical, and Kindred Workers","Teachers, college and university"
140,"Teachers, college and university, subject not specified","Professional, Technical, and Kindred Workers","Teachers, college and university"
141,Adult education teachers,"Professional, Technical, and Kindred Workers","Teachers, except college and university"
142,Elementary school teachers,"Professional, Technical, and Kindred Workers","Teachers, except college and university"
143,Prekindergarten and kindergarten teachers,"Professional, Technical, and Kindred Workers","Teachers, except college and university"
144,Secondary school teachers,"Professional, Technical, and Kindred Workers","Teachers, except college and university"
145,"Teachers, except college and university, n.e.c.","Professional, Technical, and Kindred Workers","Teachers, except college and university"
150,"Agriculture and biological technicians, except health","Professional, Technical, and Kindred Workers",Engineering and science technicians
151,Chemical technicians,"Professional, Technical, and Kindred Workers",Engineering and science technicians
152,Draftsmen,"Professional, Technical, and Kindred Workers",Engineering and science technicians
153,Electrical and electronic engineering technicians,"Professional, Technical, and Kindred Workers",Engineering and science technicians
154,Industrial engineering technicians,"Professional, Technical, and Kindred Workers",Engineering and science technicians
155,Mechanical engineering technicians,"Professional, Technical, and Kindred Workers",Engineering and science technicians
156,Mathematical technicians,"Professional, Technical, and Kindred Workers",Engineering and science technicians
161,Surveyors,"Professional, Technical, and Kindred Workers",Engineering and science technicians
162,"Engineering and science technicians, n.e.c.","Professional, Technical, and Kindred Workers",Engineering and science technicians
163,Airplane pilots,"Professional, Technical, and Kindred Workers","Technicians, except health, engineering, or science"
164,Air traffic controllers,"Professional, Technical, and Kindred Workers","Technicians, except health, engineering, or science"
165,Embalmers,"Professional, Technical, and Kindred Workers","Technicians, except health, engineering, or science"
170,Flight engineers,"Professional, Technical, and Kindred Workers","Technicians, except health, engineering, or science"
171,Radio operators,"Professional, Technical, and Kindred Workers","Technicians, except health, engineering, or science"
172,"Tool programmers, numerical control","Professional, Technical, and Kindred Workers","Technicians, except health, engineering, or science"
173,"Technicians, n.e.c.","Professional, Technical, and Kindred Workers","Technicians, except health, engineering, or science"
174,Vocational and educational counselors,"Professional, Technical, and Kindred Workers","Technicians, except health, engineering, or science"
175,Actors,"Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
180,Athletes and kindred workers,"Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
181,Authors,"Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
182,Dancers,"Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
183,Designers,"Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
184,Editors and reporters,"Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
185,Musicians and composers,"Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
190,Painters and sculptors,"Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
191,Photographers,"Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
192,Public relations men and publicity writers,"Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
193,Radio and television announcers,"Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
194,"Writers, artists, and entertainers, n.e.c.","Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
195,"Research workers, n.s.","Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
196,"Professional, technical, and kindred workers -- allocated","Professional, Technical, and Kindred Workers","Writers, artists, and entertainers"
201,"Assessors, controllers, and treasurers, local public administration","Managers and Administrators, Except Farm",
202,Bank officers and financial managers,"Managers and Administrators, Except Farm",
203,"Buyers and shippers, farm products","Managers and Administrators, Except Farm",
205,"Buyers, wholesale and retail trade","Managers and Administrators, Except Farm",
210,Credit men,"Managers and Administrators, Except Farm",
211,Funeral directors,"Managers and Administrators, Except Farm",
212,Health administrators,"Managers and Administrators, Except Farm",
213,"Construction inspectors, public administration","Managers and Administrators, Except Farm",
215,"Inspectors, except construction, public administration","Managers and Administrators, Except Farm",
216,"Managers and superintendents, building","Managers and Administrators, Except Farm",
220,"Office managers, n.e.c.","Managers and Administrators, Except Farm",
221,"Officers, pilots, and pursers, ship","Managers and Administrators, Except Farm",
222,"Officials and administrators, public administration, n.e.c.","Managers and Administrators, Except Farm",
223,"Officials of lodges, societies, and unions","Managers and Administrators, Except Farm",
224,Postmasters and mail superintendents,"Managers and Administrators, Except Farm",
225,"Purchasing agents and buyers, n.e.c.","Managers and Administrators, Except Farm",
226,Railroad conductors,"Managers and Administrators, Except Farm",
230,"Restaurant, cafeteria, and bar managers","Managers and Administrators, Except Farm",
231,"Sales managers and department heads, retail trade","Managers and Administrators, Except Farm",
233,"Sales managers, except retail trade","Managers and Administrators, Except Farm",
235,"School administrators, college","Managers and Administrators, Except Farm",
240,"School administrators, elementary and secondary","Managers and Administrators, Except Farm",
245,"Managers and administrators, n.e.c.","Managers and Administrators, Except Farm",
246,"Managers and administrators, except farm -- allocated","Managers and Administrators, Except Farm",
260,Advertising agents and salesmen,Sales Workers,
261,Auctioneers,Sales Workers,
262,Demonstrators,Sales Workers,
264,Hucksters and peddlers,Sales Workers,
265,"Insurance agents, brokers, and underwriters",Sales Workers,
266,Newsboys,Sales Workers,
270,Real estate agents and brokers,Sales Workers,
271,Stock and bond salesmen,Sales Workers,
280,"Salesmen and sales clerks, n.e.c.",Sales Workers,
281,"Sales representatives, manufacturing industries",Sales Workers,
282,"Sales representatives, wholesale trade",Sales Workers,
283,"Sales clerks, retail trade",Sales Workers,
284,"Salesmen, retail trade",Sales Workers,
285,Salesmen of services and construction,Sales Workers,
296,Sales workers -- allocated,Sales Workers,
301,Bank tellers,Clerical and Kindred Workers,
303,Billing clerks,Clerical and Kindred Workers,
305,Bookkeepers,Clerical and Kindred Workers,
310,Cashiers,Clerical and Kindred Workers,
311,"Clerical assistants, social welfare",Clerical and Kindred Workers,
312,"Clerical supervisors, n.e.c.",Clerical and Kindred Workers,
313,"Collectors, bill and account",Clerical and Kindred Workers,
314,"Counter clerks, except food",Clerical and Kindred Workers,
315,"Dispatchers and starters, vehicle",Clerical and Kindred Workers,
320,Enumerators and interviewers,Clerical and Kindred Workers,
321,"Estimators and investigators, n.e.c.",Clerical and Kindred Workers,
323,Expediters and production controllers,Clerical and Kindred Workers,
325,File clerks,Clerical and Kindred Workers,
326,"Insurance adjusters, examiners, and investigators",Clerical and Kindred Workers,
330,Library attendants and assistants,Clerical and Kindred Workers,
331,"Mail carriers, post office",Clerical and Kindred Workers,
332,"Mail handlers, except post office",Clerical and Kindred Workers,
333,Messengers and office boys,Clerical and Kindred Workers,
334,"Meter readers, utilities",Clerical and Kindred Workers,
341,Bookkeeping and billing machine operators,Clerical and Kindred Workers,Office machine operators
342,Calculating machine operators,Clerical and Kindred Workers,Office machine operators
343,Computer and peripheral equipment operators,Clerical and Kindred Workers,Office machine operators
344,Duplicating machine operators,Clerical and Kindred Workers,Office machine operators
345,Key punch operators,Clerical and Kindred Workers,Office machine operators
350,Tabulating machine operators,Clerical and Kindred Workers,Office machine operators
355,"Office machine operators, n.e.c.",Clerical and Kindred Workers,Office machine operators
360,Payroll and timekeeping clerks,Clerical and Kindred Workers,Office machine operators
361,Postal clerks,Clerical and Kindred Workers,Office machine operators
362,Proofreaders,Clerical and Kindred Workers,Office machine operators
363,Real estate appraisers,Clerical and Kindred Workers,Office machine operators
364,Receptionists,Clerical and Kindred Workers,Office machine operators
370,"Secretaries, legal",Clerical and Kindred Workers,Secretaries
371,"Secretaries, medical",Clerical and Kindred Workers,Secretaries
372,"Secretaries, n.e.c.",Clerical and Kindred Workers,Secretaries
374,Shipping and receiving clerks,Clerical and Kindred Workers,Secretaries
375,Statistical clerks,Clerical and Kindred Workers,Secretaries
376,Stenographers,Clerical and Kindred Workers,Secretaries
381,Stock clerks and storekeepers,Clerical and Kindred Workers,Secretaries
382,"Teacher aides, except school monitors",Clerical and Kindred Workers,Secretaries
383,Telegraph messengers,Clerical and Kindred Workers,Secretaries
384,Telegraph operators,Clerical and Kindred Workers,Secretaries
385,Telephone operators,Clerical and Kindred Workers,Secretaries
390,"Ticket, station, and express agents",Clerical and Kindred Workers,Secretaries
391,Typists,Clerical and Kindred Workers,Secretaries
392,Weighers,Clerical and Kindred Workers,Secretaries
394,Miscellaneous clerical workers,Clerical and Kindred Workers,Secretaries
395,"Clerical workers, n.s.",Clerical and Kindred Workers,Secretaries
396,Clerical and kindred workers -- allocated,Clerical and Kindred Workers,Secretaries
401,Automobile accessories installers,Craftsmen and Kindred Workers,
402,Bakers,Craftsmen and Kindred Workers,
403,Blacksmiths,Craftsmen and Kindred Workers,
404,Boilermakers,Craftsmen and Kindred Workers,
405,Bookbinders,Craftsmen and Kindred Workers,
410,Brickmasons and stonemasons,Craftsmen and Kindred Workers,
411,Brickmason and stonemason apprentices,Craftsmen and Kindred Workers,
412,Bulldozer operators,Craftsmen and Kindred Workers,
413,Cabinetmakers,Craftsmen and Kindred Workers,
415,Carpenters,Craftsmen and Kindred Workers,
416,Carpenter apprentices,Craftsmen and Kindred Workers,
