occupation_code_1970,occupation_label,major_group,subgroup
924,Lay midwives,"Service Workers, Except Private Household",Health service workers
925,"Nursing aides, orderlies, and attendants","Service Workers, Except Private Household",Health service workers
926,Practical nurses,"Service Workers, Except Private Household",Health service workers
931,Airline stewardesses,"Service Workers, Except Private Household",Personal service workers
932,"Attendants, recreation and amusement","Service Workers, Except Private Household",Personal service workers
933,"Attendants, personal service, n.e.c.","Service Workers, Except Private Household",Personal service workers
934,Baggage porters and bellhops,"Service Workers, Except Private Household",Personal service workers
935,Barbers,"Service Workers, Except Private Household",Personal service workers
940,Boarding and lodging house keepers,"Service Workers, Except Private Household",Personal service workers
941,Bootblacks,"Service Workers, Except Private Household",Personal service workers
942,"Child care workers, except private household","Service Workers, Except Private Household",Personal service workers
943,Elevator operators,"Service Workers, Except Private Household",Personal service workers
944,Hairdressers and cosmetologists,"Service Workers, Except Private Household",Personal service workers
945,Personal service apprentices,"Service Workers, Except Private Household",Personal service workers
950,"Housekeepers, except private household","Service Workers, Except Private Household",Personal service workers
952,School monitors,"Service Workers, Except Private Household",Personal service workers
953,"Ushers, recreation and amusement","Service Workers, Except Private Household",Personal service workers
954,Welfare service aides,"Service Workers, Except Private Household",Personal service workers
960,Crossing guards and bridge tenders,"Service Workers, Except Private Household",Protective service workers
961,"Firemen, fire protection","Service Workers, Except Private Household",Protective service workers
962,Guards and watchmen,"Service Workers, Except Private Household",Protective service workers
963,Marshals and constables,"Service Workers, Except Private Household",Protective service workers
964,Policemen and detectives,"Service Workers, Except Private Household",Protective service workers
965,Sheriffs and bailiffs,"Service Workers, Except Private Household",Protective service workers
976,"Service workers, except private household -- allocated","Service Workers, Except Private Household",Protective service workers
980,"Child care workers, private household",Private Household Workers,
981,"Cooks, private household",Private Household Workers,
982,"Housekeepers, private household",Private Household Workers,
983,"Laundresses, private household",Private Household Workers,
984,"Maids and servants, private household",Private Household Workers,
986,Private household workers -- allocated,Private Household Workers,
991,"Unemployed persons, last worked 1959 or earlier*",Workers Not Classifiable by Occupation,
995,Occupation not reported**,Workers Not Classifiable by Occupation,
