qname,code,label
occall_emp_01,280,"Salesmen and sales clerks, n.e.c."
occall_emp_01,281,"Sales representatives, manufacturing industries"
occall_emp_01,282,"Sales representatives, wholesale trade"
occall_emp_01,283,"Sales clerks, retail trade"
occall_emp_01,284,"Salesmen, retail trade"
occall_emp_01,285,Salesmen of services and construction
occall_emp_01,296,Sales workers -- allocated
occall_emp_01,301,Bank tellers
occall_emp_01,303,Billing clerks
occall_emp_01,305,Bookkeepers
occall_emp_01,310,Cashiers
occall_emp_01,311,"Clerical assistants, social welfare"
occall_emp_01,312,"Clerical supervisors, n.e.c."
occall_emp_01,313,"Collectors, bill and account"
occall_emp_01,314,"Counter clerks, except food"
occall_emp_01,315,"Dispatchers and starters, vehicle"
occall_emp_01,320,Enumerators and interviewers
occall_emp_01,321,"Estimators and investigators, n.e.c."
occall_emp_01,323,Expediters and production controllers
occall_emp_01,325,File clerks
occall_emp_01,326,"Insurance adjusters, examiners, and investigators"
occall_emp_01,330,Library attendants and assistants
occall_emp_01,331,"Mail carriers, post office"
occall_emp_01,332,"Mail handlers, except post office"
occall_emp_01,333,Messengers and office boys
occall_emp_01,334,"Meter readers, utilities"
occall_emp_01,341,Bookkeeping and billing machine operators
occall_emp_01,342,Calculating machine operators
occall_emp_01,343,Computer and peripheral equipment operators
occall_emp_01,344,Duplicating machine operators
occall_emp_01,345,Key punch operators
occall_emp_01,350,Tabulating machine operators
occall_emp_01,355,"Office machine operators, n.e.c."
occall_emp_01,360,Payroll and timekeeping clerks
occall_emp_01,361,Postal clerks
occall_emp_01,362,Proofreaders
occall_emp_01,363,Real estate appraisers
occall_emp_01,364,Receptionists
occall_emp_01,370,"Secretaries, legal"
occall_emp_01,371,"Secretaries, medical"
occall_emp_01,372,"Secretaries, n.e.c."
occall_emp_01,374,Shipping and receiving clerks
occall_emp_01,375,Statistical clerks
occall_emp_01,376,Stenographers
occall_emp_01,381,Stock clerks and storekeepers
occall_emp_01,382,"Teacher aides, except school monitors"
occall_emp_01,383,Telegraph messengers
occall_emp_01,384,Telegraph operators
occall_emp_01,385,Telephone operators
occall_emp_01,390,"Ticket, station, and express agents"
occall_emp_01,391,Typists
occall_emp_01,392,Weighers
occall_emp_01,394,Miscellaneous clerical workers
occall_emp_01,395,"Clerical workers, n.s."
occall_emp_01,396,Clerical and kindred workers -- allocated
occall_emp_01,401,Automobile accessories installers
occall_emp_01,402,Bakers
occall_emp_01,403,Blacksmiths
occall_emp_01,404,Boilermakers
occall_emp_01,405,Bookbinders
occall_emp_01,410,Brickmasons and stonemasons
occall_emp_01,411,Brickmason and stonemason apprentices
occall_emp_01,412,Bulldozer operators
occall_emp_01,413,Cabinetmakers
occall_emp_01,415,Carpenters
occall_emp_01,416,Carpenter apprentices
occall_emp_01,420,Carpet installers
occall_emp_01,421,Cement and concrete finishers
occall_emp_01,422,Compositors and typesetters
occall_emp_01,423,"Printing trades apprentices, except pressmen"
occall_emp_01,424,"Cranemen, derrickmen, and hoistmen"
occall_emp_01,425,Decorators and window dressers
occall_emp_01,426,Dental laboratory technicians
occall_emp_01,430,Electricians
occall_emp_01,431,Electrician apprentices
occall_emp_01,433,Electric power linemen and cablemen
occall_emp_01,434,Electrotypers and stereotypers
occall_emp_01,435,"Engravers, except photoengravers"
occall_emp_01,436,"Excavating, grading, and road machine operators, except bulldozer"
occall_emp_01,440,"Floor layers, except tile setters"
occall_emp_01,441,"Foremen, n.e.c."
occall_emp_01,442,Forgemen and hammermen
occall_emp_01,443,Furniture and wood finishers
occall_emp_01,444,Furriers
occall_emp_01,445,Glaziers
